№ Борта;Марка, модель;Регистрационный номер;Менеджер;Агрегатор
1;Nissan LEAF;AE 8656 KT;Денис;UBER
2;Nissan LEAF;AE 8658 KT;Денис;UBER
3;;;;
4;Nissan LEAF;AE 8097 KX;Денис;Bolt 
5;Peugeot 301;АА 3768 ХО;Андрей;UBER
6;Nissan LEAF;АЕ 8562 КХ;Денис;Uklon
7;Nissan LEAF;AE 8094 KX;Андрей;UBER
8;Nissan LEAF;AE 8564 KX;Андрей;UBER
9;Nissan LEAF;AA 4930 CC;Андрей;UBER
10;Nissan LEAF;AE 8657 KT;Денис;UBER
11;Nissan LEAF;AE 8660 KT;Денис;UBER
12;Nissan LEAF;АА 2423 ТО;Денис;UBER
13;Nissan LEAF;АА 9480 ТО;Денис;Bolt
14;Nissan LEAF;AE 7726 KT;Андрей;UBER
15;Nissan LEAF;AE 7731 KT;Роман;Еще не брендированна
16;Nissan LEAF;АА 4898 ТН;Денис;Еще не брендированна
17;Nissan LEAF;AE 7732 KT;Роман;UBER
18;Nissan LEAF;АЕ 7739 КТ;Роман;UBER
19;Nissan LEAF;AE 8004 KT;Денис;UBER
20;Nissan LEAF;АЕ 8005 КТ;Денис;Bolt
21;Nissan LEAF;AE 8006 KT;Роман;UBER
22;Nissan LEAF;AE 8010 KT;Роман;Еще не брендированна
23;Nissan LEAF;AE 8012 KT;Роман;UBER
24;Nissan LEAF;AE 8021 KT;Денис;Bolt
25;Nissan LEAF;AE 7301 MB;Денис;Bolt
26;Nissan LEAF;АА 5235 ХС;Андрей;UBER
27;Nissan LEAF;АЕ 7451 МВ;Роман;UBER
28;Nissan LEAF;АА 7803 РТ;Андрей;UBER
29;Nissan LEAF;AA 1427 EO;Денис;Bolt
30;Volkswagen Jetta;AA 9641 XC;Денис;UBER
31;Renault Zoe;AA 4609 PP;Андрей;UBER
32;Volkswagen Jetta;АА 7842 ХС;Денис;Bolt
33;Nissan LEAF;AA1355KC;Денис;Bolt
34;Volkswagen e-Golf;АІ 6465 ІН;;Еще не запущена
35;Chevrolet Aveo;АА 0095 ЕВ;Андрей;Bolt
36;Ford Fiesta;BB 3253 EC;Андрей;Bolt
37;;;;
38;Renault New Logan;AA1251MM;Андрей;UBER
39;Renault New Logan;AA1256MM;Денис;UBER
40;Renault New Logan;АА 1258 ММ;Андрей;UBER
41;Ford Focus;АІ 7956 ІС;;Форд бежевый под выкуп
42;Renault Logan;AE 8081 KT;Андрей;Bolt
43;Renault Logan;AA 2471 MM;Андрей;Bolt
44;Renault Logan;AA 2472 MM;Андрей;Bolt
45;Ford Focus;АІ 7678 ІН;Денис;Uklon
46;Ford Focus;АІ 2616 ІН;Денис;Еще не запущена
47;Fiat Linea;AE 9386 MC;Андрей;Еще не брендированна
48;Citroen C-Elysee;AA 6574 II;Андрей;Еще не брендированна
;; ;;
